step,data
59,5.138662,-1.680743,2.231805,1.283217,3.737696
119,-1.424473,4.948913,-4.982515,5.238976,2.445779
179,3.948852,-5.26414,10,4.903511,-0.2783294
239,1.703655,3.2343,-0.5511464,-2.300417,0.1590926
299,-1.498631,5.655104,-2.126567,5.94612,1.328598
359,-0.2006887,-1.177362,2.207427,4.330464,0.7685557
419,-4.626822,-0.643209,-10,3.660794,1.243548
479,0.8735508,0.07618287,-4.592976,1.677469,1.544267
539,1.486697,-2.753369,-4.195464,2.896474,1.620373
599,-1.050777,7.925311,-2.438185,6.705226,3.472259
659,6.359376,-4.771217,9.195034,2.110011,2.721066
719,2.95619,3.831508,6.784473,-3.752322,-2.055058
779,-1.525704,-1.786119,-7.453494,6.372725,3.744828
839,-0.7895753,2.345268,-0.2536575,2.010695,0.4633713
899,-1.02958,1.968071,1.807821,2.502236,-0.09931517
959,6.791453,-6.296212,10,2.476937,2.49258
1019,1.459473,2.94308,-0.166124,-1.402886,-0.7111352
1079,-1.20633,6.438425,-4.676574,6.842961,2.997803
1139,4.537599,-5.771359,10,5.44831,-0.05611807
1199,0.4427802,3.710987,-1.333529,-1.29163,1.030719
1259,-0.1497032,-3.612711,8.652365,5.82422,-2.82074
1319,-0.6494584,8.347544,-1.070887,5.73705,5.75259
1379,4.28877,-6.978386,10,7.063852,-1.250274
1439,0.1780314,3.671812,-0.8499072,-1.849262,1.067094
1499,-1.480092,-0.8762985,3.240719,3.51797,-1.986949
1559,-0.5239387,-0.9058189,-9.326072,6.63999,-1.200108
1619,5.879811,-3.602831,6.835151,0.1612473,4.248994
1679,2.735858,-4.437303,7.718906,-4.11657,-2.521965
1739,1.366503,-2.657967,-6.837132,6.22363,-0.02125512
1799,-0.4930229,2.424243,-4.874729,5.140841,2.086733
1859,2.233063,-8.618038,9.708302,7.376759,-0.7549197
1919,-0.918969,0.689689,0.4244684,-8.767274,-1.50457
1979,-0.7268759,-0.8143774,-2.775671,-3.149337,-0.8336329
step,data
59,66.64871,-30.95641,72.35995,5.463422,44.69265
119,-9.264586,24.18213,-28.78793,42.82211,-1.693455
179,74.55694,-66.71397,100,22.56125,33.25657
239,37.30819,35.12954,65.50513,-91.91264,-40.01889
299,8.073816,-15.21206,-56.76942,40.15503,59.34615
359,59.41766,37.50942,100,56.87756,19.30772
419,37.75128,32.07466,57.02981,-56.45388,-28.17827
479,27.17424,-78.19875,-100,81.63459,58.4118
539,-1.858337,1.24395,-3.040135,27.70255,-9.985197
599,53.82207,-0.6169001,100,49.40222,5.405266
659,100,-7.422038,100,66.50633,-11.52688
719,-12.2471,90.50317,0.8807952,80.73768,35.02014
779,71.62608,-51.50245,100,46.15012,11.81123
839,-11.03946,80.01084,-13.83734,69.58992,33.0637
899,74.40132,-76.38431,100,37.49317,23.49753
959,24.27904,23.67587,26.6811,-27.32445,-29.65566
1019,52.8799,-65.45235,46.92302,75.22249,1.029186
1079,-31.81336,38.96189,-49.47873,70.72421,20.59701
1139,78.95577,-71.53639,100,42.05436,33.1185
1199,5.382249,21.98509,6.190677,-15.56314,-16.02627
1259,-29.24334,47.84119,-32.step,data
59,17.68474,100,-7.580277,70.05627,6.516887
119,54.85905,100,56.29398,-37.17683,-3.90275
179,17.28315,67.32276,-11.32116,36.62506,31.0279
239,-56.12133,-24.2385,20.85344,90.36806,-1.691097
299,1.463131,100,98.89402,-79.1782,-82.85765
359,15.4938,100,-12.88062,-100,17.99805
419,-19.18932,-41.84967,-100,86.39075,70.95647
479,-59.43525,-9.746156,22.35149,100,0.9374273
539,0.9662621,100,100,-96.98421,-100
599,10.95502,100,52.49475,-100,-43.571
659,-13.36998,-21.48333,-100,85.3025,61.36097
719,-51.32436,12.60536,37.36864,57.49535,-38.6294
779,-4.597721,100,20.72729,-100,-36.06182
839,-22.35825,-56.7991,-100,75.57115,59.46174
899,-2.190775,100,100,-59.71173,-93.91629
959,34.87527,94.11997,-38.19177,-100,19.34314
1019,-46.59323,-28.46053,18.14768,70.91579,-10.63919
1079,8.203343,100,4.582238,-84.04074,-28.95889
1139,-13.10907,-28.5166,-16.43829,55.44915,17.83465
1199,34.16732,100,-9.653008,-98.19602,9.477269
1259,18.03891,92.83164,-36.62833,-80.29704,1.168295
1319,25.76081,100,-4.311349,-100,2.424076
1379,-22.03476,18.61197,3.218427,62.14317,-30.96086
1439,36.12143,69.52324,-27.10384,-53.9706,22.03588
1499,38.17336,100,-11.57463,-100,20.22768
1559,36.16929,100,13.11527,-100,10.47333
1619,22.00769,38.80868,-12.09171,-17.47171,-13.97439
1679,6.176421,1.086803,-24.6435,18.23088,-10.86943
1739,41.27686,100,-17.18099,-100,22.28121
1799,38.69057,63.48071,-21.91655,-49.87255,28.69879
1859,-2.380686,58.96174,7.634216,53.0209,14.85591
1919,16.74779,53.093,-4.683009,51.55269,21.29527
1979,4.78066,71.66571,45.58357,53.75469,-4.652918
step,data
step,data
step,data
step,data
step,data
step,data
step,data
step,data
step,data
step,data
step,data
step,data
step,data
step,data
step,data
step,data
step,data
step,data
step,data
step,data
step,data
step,data
step,data
